spearman_h,spear_sig_h,pearson_h,pear_sig_h,spearman_tc,spear_sig_tc,pearson_tc,pear_sig_tc
-0.342961818981353,5.5629272272548E-29,-0.326326296971604,3.04741010135434E-26,-0.39693875921287,3.45366575552704E-08,-0.384148292473024,1.01689794131719E-07
-0.276027785635821,6.04826513441284E-19,-0.258312440524603,1.04466697078693E-16,-0.339946322336812,3.02832925077822E-06,-0.360678906595893,6.56716942973068E-07
-0.139763626797353,9.16562224028175E-06,-0.133695504850198,2.21941174121196E-05,-0.29406094378209,6.15713466355344E-05,-0.330916348043189,5.69869380028602E-06
